aoa,cw,ca
0,0.0860012399,0.0009969697
1,0.089671581,0.0217694353
2,0.0914901821,0.0512197393
3,0.0927770482,0.0716525999
4,0.0965211135,0.0952809254
5,0.0966354353,0.1219301274
6,0.1090103795,0.1541879252
7,0.1100842269,0.1733822879
8,0.1116802629,0.1947110991
9,0.1214684887,0.223438881
10,0.12603073,0.2470579447
11,0.1301554794,0.2742915374
12,0.1442732703,0.2948869225
13,0.1486887604,0.3214608342
14,0.1690572355,0.3440307119
15,0.1814338707,0.3767031884
16,0.1926352904,0.3969430987
17,0.2398818433,0.4350057683
18,0.2221925797,0.4734333888
19,0.2319530317,0.4967357096
20,0.2519563816,0.5343435402
21,0.2707526685,0.5655468192
22,0.2906727031,0.5841090517
23,0.310500406,0.6239085023
24,0.3304366416,0.6436728737
25,0.350540039,0.6536234425
26,0.3815332307,0.6791592002
27,0.3876439556,0.7005818908
28,0.419257337,0.7313268941
29,0.4485809095,0.7386398432
30,0.4530565073,0.7544541895
31,0.4681223464,0.7618165035
32,0.4910879957,0.7629503155
33,0.518003218,0.769722478
34,0.5188743497,0.7405912386
35,0.5193099222,0.721678207
36,0.5493138696,0.712547747
37,0.5574247694,0.7013882287
38,0.587892679,0.7111451396
39,0.6080111266,0.7026206164
40,0.6225097402,0.6997521287
41,0.6394808837,0.7101612992
42,0.6600040316,0.7020379875
43,0.6776942775,0.6911061954
44,0.699870704,0.693042477
45,0.738082456,0.6735847662
46,0.7594478402,0.6743160178
47,0.770931724,0.6734710315
48,0.791046888,0.6641412943
49,0.7984492913,0.6508294459
50,0.8205912404,0.6443109802
51,0.8273906978,0.631403832
52,0.8487610073,0.6333429046
53,0.8482348148,0.6031487743
54,0.8756411512,0.6026512721
55,0.8773326014,0.5726507699
56,0.8891768572,0.5613366058
57,0.8873031687,0.5466477297
58,0.9063179256,0.5145741852
59,0.920637174,0.5171415899
60,0.9248167512,0.5042435126
61,0.9277132724,0.4732323064
62,0.9456132564,0.4643128516
63,0.9576212804,0.4437380285
64,0.9773317442,0.4340070798
65,0.9635029793,0.4034563946
66,0.9790166272,0.4023961496
67,0.9900202885,0.3826300293
68,0.9879499962,0.369149672
69,0.9975511616,0.3514014711
70,1.0059333009,0.3312418147
71,1.0167452836,0.3138920342
72,1.0195125142,0.3005962342
73,1.016408307,0.2806776536
74,1.0239851501,0.2607220917
75,1.0366002245,0.2407490858
76,1.0282808836,0.226887752
77,1.0280169665,0.2115893834
78,1.0359525399,0.1807620367
79,1.0370919395,0.1636470522
80,1.0382502196,0.1511620483
81,1.0450250502,0.1322157949
82,1.0469533281,0.1108706458
83,1.053733084,0.0931322135
84,1.0565019564,0.0802390205
85,1.0467628809,0.0641682325
86,1.1238550022,0.0409523911
87,1.0663534942,0.025046972
88,1.0743440675,0.0077069602
89,1.0938365841,-0.0060493608
90,1.1051595728,-0.0463498342
